obs,k,m,reference_pool,multiplier,threshold,physical_rqmc,quotient_self_normalized
0,2,100,0,1.25,0.07905815616028851,1024.0,1024.0
0,2,100,0,1.5,0.09486978739234622,1024.0,1024.0
0,2,100,0,2.0,0.12649304985646162,1024.0,1024.0
0,2,100,1,1.25,0.07905815616028851,1024.0,1024.0
0,2,100,1,1.5,0.09486978739234622,1024.0,1024.0
0,2,100,1,2.0,0.12649304985646162,1024.0,1024.0
0,2,500,0,1.25,0.0425674598417245,1024.0,1024.0
0,2,500,0,1.5,0.05108095181006939,1024.0,1024.0
0,2,500,0,2.0,0.06810793574675919,1024.0,1024.0
0,2,500,1,1.25,0.0425674598417245,1024.0,1024.0
0,2,500,1,1.5,0.05108095181006939,1024.0,1024.0
0,2,500,1,2.0,0.06810793574675919,1024.0,1024.0
1,2,100,0,1.25,0.07877434472553432,1024.0,1024.0
1,2,100,0,1.5,0.0945292136706412,1024.0,1024.0
1,2,100,0,2.0,0.12603895156085493,1024.0,1024.0
1,2,100,1,1.25,0.07877434472553432,1024.0,1024.0
1,2,100,1,1.5,0.0945292136706412,1024.0,1024.0
1,2,100,1,2.0,0.12603895156085493,1024.0,1024.0
1,2,500,0,1.25,0.03651222100353335,1024.0,1024.0
1,2,500,0,1.5,0.043814665204240016,1024.0,1024.0
1,2,500,0,2.0,0.05841955360565336,1024.0,1024.0
1,2,500,1,1.25,0.03651222100353335,4096.0,1024.0
1,2,500,1,1.5,0.043814665204240016,1024.0,1024.0
1,2,500,1,2.0,0.05841955360565336,1024.0,1024.0
2,2,100,0,1.25,0.08585025673999916,1024.0,1024.0
2,2,100,0,1.5,0.103020308087999,1024.0,1024.0
2,2,100,0,2.0,0.13736041078399866,1024.0,1024.0
2,2,100,1,1.25,0.08585025673999916,1024.0,1024.0
2,2,100,1,1.5,0.103020308087999,1024.0,1024.0
2,2,100,1,2.0,0.13736041078399866,1024.0,1024.0
2,2,500,0,1.25,0.04024475017643997,1024.0,1024.0
2,2,500,0,1.5,0.04829370021172796,1024.0,1024.0
2,2,500,0,2.0,0.06439160028230395,1024.0,1024.0
2,2,500,1,1.25,0.04024475017643997,1024.0,1024.0
2,2,500,1,1.5,0.04829370021172796,1024.0,1024.0
2,2,500,1,2.0,0.06439160028230395,1024.0,1024.0
3,2,100,0,1.25,0.08272887631808405,1024.0,1024.0
3,2,100,0,1.5,0.09927465158170087,1024.0,1024.0
3,2,100,0,2.0,0.1323662021089345,1024.0,1024.0
3,2,100,1,1.25,0.08272887631808405,1024.0,1024.0
3,2,100,1,1.5,0.09927465158170087,1024.0,1024.0
3,2,100,1,2.0,0.1323662021089345,1024.0,1024.0
3,2,500,0,1.25,0.038735475394991226,1024.0,1024.0
3,2,500,0,1.5,0.04648257047398947,1024.0,1024.0
3,2,500,0,2.0,0.061976760631985955,1024.0,1024.0
3,2,500,1,1.25,0.038735475394991226,1024.0,1024.0
