k,m,reference_pool,multiplier,observations,physical_rqmc_reached,physical_rqmc_mean,physical_rqmc_median,physical_rqmc_p90,physical_rqmc_unreached_ids,quotient_self_normalized_reached,quotient_self_normalized_mean,quotient_self_normalized_median,quotient_self_normalized_p90,quotient_self_normalized_unreached_ids,ratio_of_means,quotient_lower_budget,equal_budget,physical_lower_budget
2,100,0,1.25,192,186,inf,4096.0,65536.0,"63,73,78,81,82,164",188,inf,1024.0,4096.0,"73,78,82,150",,92,91,9
2,100,0,1.5,192,192,31424.0,1024.0,16384.0,,192,22912.0,1024.0,1024.0,,1.3715083798882681,87,104,1
2,100,0,2.0,192,192,4992.0,1024.0,16384.0,,192,1024.0,1024.0,1024.0,,4.875,80,112,0
2,100,1,1.25,192,186,inf,4096.0,65536.0,"63,73,78,81,82,164",188,inf,1024.0,16384.0,"73,78,82,150",,88,93,11
2,100,1,1.5,192,192,31632.0,1024.0,16384.0,,192,1072.0,1024.0,1024.0,,29.507462686567163,89,103,0
2,100,1,2.0,192,192,4976.0,1024.0,16384.0,,192,1040.0,1024.0,1024.0,,4.7846153846153845,79,113,0
2,500,0,1.25,192,190,inf,4096.0,65536.0,"54,86",185,inf,1024.0,16384.0,"61,83,86,90,93,147,191",,120,65,7
2,500,0,1.5,192,192,23392.0,4096.0,65536.0,,192,24448.0,1024.0,1024.0,,0.9568062827225131,112,79,1
2,500,0,2.0,192,192,12320.0,4096.0,65536.0,,192,1104.0,1024.0,1024.0,,11.159420289855072,102,90,0
2,500,1,1.25,192,190,inf,4096.0,262144.0,"83,86",185,inf,1024.0,16384.0,"61,73,83,86,90,93,147",,119,67,6
2,500,1,1.5,192,192,24848.0,4096.0,65536.0,,192,23488.0,1024.0,1024.0,,1.0579019073569482,116,75,1
2,500,1,2.0,192,192,12128.0,4096.0,65536.0,,192,1104.0,1024.0,1024.0,,10.985507246376812,102,90,0
3,100,0,1.25,48,48,195648.0,4096.0,1048576.0,,48,1792.0,1024.0,4096.0,,109.17857142857143,25,23,0
3,100,0,1.5,48,48,44992.0,1024.0,262144.0,,48,1088.0,1024.0,1024.0,,41.35294117647059,23,25,0
3,100,0,2.0,48,48,28544.0,1024.0,65536.0,,48,1024.0,1024.0,1024.0,,27.875,22,26,0
3,100,1,1.25,48,48,195712.0,4096.0,1048576.0,,48,1984.0,1024.0,4096.0,,98.64516129032258,26,22,0
3,100,1,1.5,48,48,61376.0,1024.0,262144.0,,48,1088.0,1024.0,1024.0,,56.411764705882355,23,25,0
3,100,1,2.0,48,48,28544.0,1024.0,65536.0,,48,1024.0,1024.0,1024.0,,27.875,22,26,0
3,500,0,1.25,48,48,317888.0,16384.0,1048576.0,,48,28224.0,1024.0,16384.0,,11.263038548752835,35,13,0
3,500,0,1.5,48,48,171520.0,4096.0,1048576.0,,48,3264.0,1024.0,4096.0,,52.549019607843135,28,20,0
3,500,0,2.0,48,48,130880.0,4096.0,1048576.0,,48,1472.0,1024.0,1024.0,,88.91304347826087,25,23,0
3,500,1,1.25,48,47,inf,16384.0,1048576.0,237,48,92544.0,1024.0,16384.0,,,36,12,0
3,500,1,1.5,48,48,237056.0,4096.0,1048576.0,,48,3520.0,1024.0,4096.0,,67.34545454545454,28,20,0
3,500,1,2.0,48,48,113472.0,4096.0,262144.0,,48,1408.0,1024.0,1024.0,,80.5909090909091,25,23,0
4,100,0,1.25,48,47,inf,4096.0,4194304.0,285,47,inf,1024.0,16384.0,285,,25,23,0
4,100,0,1.5,48,47,inf,1024.0,1048576.0,285,48,23360.0,1024.0,4096.0,,,23,25,0
4,100,0,2.0,48,48,98752.0,1024.0,262144.0,,48,1088.0,1024.0,1024.0,,90.76470588235294,15,33,0
4,100,1,1.25,48,47,inf,4096.0,4194304.0,285,48,28160.0,1024.0,16384.0,,,26,22,0
4,100,1,1.5,48,48,262336.0,1024.0,1048576.0,,48,1856.0,1024.0,4096.0,,141.3448275862069,23,25,0
4,100,1,2.0,48,48,115136.0,1024.0,262144.0,,48,1088.0,1024.0,1024.0,,105.82352941176471,15,33,0
4,500,0,1.25,48,41,inf,16384.0,inf,"280,281,282,283,284,285,287",43,inf,1024.0,inf,"281,282,284,285,287",,28,20,0
4,500,0,1.5,48,44,inf,4096.0,4194304.0,"283,284,285,287",46,inf,1024.0,65536.0,"284,285",,26,22,0
4,500,0,2.0,48,47,inf,1024.0,4194304.0,285,47,inf,1024.0,16384.0,285,,23,25,0
4,500,1,1.25,48,41,inf,16384.0,inf,"280,281,282,283,284,285,287",42,inf,1024.0,inf,"280,282,283,284,285,287",,27,21,0
4,500,1,1.5,48,43,inf,4096.0,inf,"282,283,284,285,287",47,inf,1024.0,262144.0,285,,27,21,0
4,500,1,2.0,48,47,inf,1024.0,4194304.0,285,48,3904.0,1024.0,16384.0,,,24,24,0
