obs,k,m,same_pool_median,independent_pool_median,ratio
0,2,100,0.06324652492823081,0.06915511593343689,1.0934215913350318
0,2,500,0.034053967873379595,0.030938025073055188,0.9084998608118093
1,2,100,0.06301947578042746,0.06978213176932185,1.1073105719326648
1,2,500,0.02920977680282668,0.03100705172037707,1.0615299093068205
2,2,100,0.06868020539199933,0.07004647177727893,1.0198931610277153
2,2,500,0.032195800141151976,0.03316225343970581,1.0300179928536248
3,2,100,0.06618310105446724,0.06861940365713093,1.0368115510431986
3,2,500,0.030988380315992978,0.031661356468871235,1.021717048326367
4,2,100,0.06596912358077242,0.06842739199185743,1.0372639240549424
4,2,500,0.035064862714335315,0.03312213104870168,0.9445960567003903
5,2,100,0.06992764091929421,0.06492732961373407,0.9284930645475205
5,2,500,0.02863278177352624,0.0337429848395288,1.1784738593135031
6,2,100,0.06617884026486426,0.06818271963000298,1.030279759468717
6,2,500,0.03284353292444721,0.03295372832594441,1.0033551628489754
7,2,100,0.06320698167439551,0.06264948778869583,0.9911798685694003
7,2,500,0.030889224440418195,0.033529075906518845,1.0854618888600658
8,2,100,0.06410856489334256,0.06556454988680781,1.0227112398458391
8,2,500,0.03159692026702689,0.03210670777754858,1.0161340885824774
9,2,100,0.05936254567755387,0.06208074536891654,1.045789810061843
9,2,500,0.029399488411191853,0.03203177191978322,1.089535010670094
10,2,100,0.06991823955671864,0.06989572847820819,0.9996780371094414
10,2,500,0.031704302460141456,0.03333779913587497,1.0515228706825246
11,2,100,0.06912158578820528,0.06853808446479961,0.9915583342489629
11,2,500,0.03320973410699516,0.032720660092215983,0.9852731728232609
12,2,100,0.061961744230613125,0.06819153769398109,1.1005425773713136
12,2,500,0.031406509832665325,0.031222180293500414,0.9941308493001284
13,2,100,0.06312517640003933,0.0674125389356166,1.0679184246299327
13,2,500,0.03404514433592559,0.030597787608019983,0.898741603387246
14,2,100,0.07235209152121097,0.06339209258444609,0.8761611620565504
14,2,500,0.0318558522861451,0.03135531737525015,0.9842875052784997
15,2,100,0.06101452535577119,0.06056462834430859,0.9926263949635061
15,2,500,0.03061754312347622,0.0305717287703417,0.9985036567777579
16,2,100,0.0622624330916442,0.06413853010432795,1.0301320863886305
16,2,500,0.031108980812970553,0.02858850098019465,0.9189790289842921
17,2,100,0.06190000807577744,0.06524833953669296,1.0540925852031637
17,2,500,0.030427452840749165,0.03076509289992973,1.0110965601014221
18,2,100,0.061321843203436595,0.0650646293245256,1.061035121019964
18,2,500,0.02939108525775372,0.029581501471530658,1.0064787064549345
19,2,100,0.058729369573853926,0.06213293039081617,1.0579533007362212
19,2,500,0.027559401420224464,0.02802296486692503,1.0168205194166655
20,2,100,0.0618284476500936,0.06136842435309662,0.992559682242058
20,2,500,0.033932044669706354,0.031851719076652074,0.9386914165266457
21,2,100,0.06066359831243755,0.059911957147531225,0.9876096838002401
21,2,500,0.028559511151537306,0.0299627018420957,1.0491321676730752
22,2,100,0.06503104507513344,0.058385776404943295,0.8978139031517555
22,2,500,0.029738832427468144,0.029058618649747226,0.9771270852889086
23,2,100,0.06393632316533479,0.06397471564328297,1.0006004799157577
23,2,500,0.03374131457414479,0.031413352814316745,0.9310055998348118
24,2,100,0.057973137700278315,0.05582574761081489,0.9629588776000799
24,2,500,0.03043511726632714,0.024914080797508356,0.8185965107179937
25,2,100,0.055460829706490036,0.05052370248837397,0.9109799250345813
25,2,500,0.023958538648579275,0.024634563827235258,1.02821646130308
26,2,100,0.06731361706219613,0.06390022609671579,0.94929122643452
26,2,500,0.029999432894121842,0.03015339964879677,1.0051323221748334
27,2,100,0.057750816240720454,0.06029568285048008,1.044066331446329
27,2,500,0.028489748501870787,0.027543017546925685,0.966769416905069
28,2,100,0.053484858494717645,0.05850150184081867,1.0937955804182689
28,2,500,0.024776725835725665,0.026962757876049723,1.088229254132199
29,2,100,0.05869868015283719,0.048443885576259324,0.8252976974971693
29,2,500,0.026195370763447155,0.023767439351137724,0.9073144856686911
30,2,100,0.052293444015923896,0.057469807825051254,1.0989868597591526
30,2,500,0.02720876938980074,0.0252111617203802,0.9265822117567232
31,2,100,0.06383679230837151,0.062043934715911755,0.9719149799413614
31,2,500,0.029394522567745312,0.030937540807481886,1.0524933934946687
32,2,100,0.06046650323960931,0.063438589669019,1.049152609629703
32,2,500,0.029813546271342806,0.029286421967949727,0.982319302152265
33,2,100,0.05629697564989328,0.05271223548436538,0.9363244628304523
33,2,500,0.024223149857856344,0.02636113312095404,1.0882619839138832
34,2,100,0.056777945854514844,0.04499503653058784,0.7924738356311977
34,2,500,0.02280571025209502,0.02160340712908656,0.9472806104384313
35,2,100,0.06585474653691054,0.06413505171099676,0.973886547039553
35,2,500,0.03060724436677994,0.03031709807077423,0.9905203391547192
36,2,100,0.05248680672254414,0.0519144550226629,0.9890953225082484
36,2,500,0.025131148075312394,0.024929302107170224,0.9919682949805045
37,2,100,0.0490350252549164,0.04948550469726325,1.0091868912069475
37,2,500,0.02566639129640533,0.023508777334913616,0.9159362164873603
38,2,100,0.06322974569592626,0.06499870526203887,1.0279766990463568
38,2,500,0.03315934487162158,0.0312926315896213,0.94370475987305
39,2,100,0.04497970754066484,0.05168813322754576,1.1491433816197232
39,2,500,0.022385048314556483,0.022742721474729482,1.0159782170289269
40,2,100,0.05239157283380626,0.05792768448144195,1.1056679795660467
40,2,500,0.026696238505188388,0.0247788657094352,0.9281781665465512
