obs,k,m,method,n,reached,repeat,ms
0,2,100,physical_rqmc,1024,True,0,0.847042
0,2,100,physical_rqmc,1024,True,1,0.764042
0,2,100,physical_rqmc,1024,True,2,0.870125
0,2,100,physical_rqmc,1024,True,3,0.847542
0,2,100,physical_rqmc,1024,True,4,0.852125
0,2,100,quotient_self_normalized,1024,True,0,1.057333
0,2,100,quotient_self_normalized,1024,True,1,0.806041
0,2,100,quotient_self_normalized,1024,True,2,0.799667
0,2,100,quotient_self_normalized,1024,True,3,0.757333
0,2,100,quotient_self_normalized,1024,True,4,0.759292
1,2,100,quotient_self_normalized,1024,True,0,0.743875
1,2,100,quotient_self_normalized,1024,True,1,0.720625
1,2,100,quotient_self_normalized,1024,True,2,0.709708
1,2,100,quotient_self_normalized,1024,True,3,0.737833
1,2,100,quotient_self_normalized,1024,True,4,0.83125
1,2,100,physical_rqmc,1024,True,0,0.799333
1,2,100,physical_rqmc,1024,True,1,0.719541
1,2,100,physical_rqmc,1024,True,2,0.733083
1,2,100,physical_rqmc,1024,True,3,0.678834
1,2,100,physical_rqmc,1024,True,4,0.685542
2,2,100,quotient_self_normalized,1024,True,0,0.736125
2,2,100,quotient_self_normalized,1024,True,1,0.725542
2,2,100,quotient_self_normalized,1024,True,2,0.710959
2,2,100,quotient_self_normalized,1024,True,3,0.728334
2,2,100,quotient_self_normalized,1024,True,4,0.7595
2,2,100,physical_rqmc,1024,True,0,0.800417
2,2,100,physical_rqmc,1024,True,1,0.957
2,2,100,physical_rqmc,1024,True,2,0.760208
2,2,100,physical_rqmc,1024,True,3,0.723417
2,2,100,physical_rqmc,1024,True,4,0.72725
3,2,100,physical_rqmc,1024,True,0,0.69825
3,2,100,physical_rqmc,1024,True,1,0.669333
3,2,100,physical_rqmc,1024,True,2,0.673917
3,2,100,physical_rqmc,1024,True,3,0.670791
3,2,100,physical_rqmc,1024,True,4,0.713541
3,2,100,quotient_self_normalized,1024,True,0,0.80225
3,2,100,quotient_self_normalized,1024,True,1,0.710625
3,2,100,quotient_self_normalized,1024,True,2,0.729542
3,2,100,quotient_self_normalized,1024,True,3,0.741791
3,2,100,quotient_self_normalized,1024,True,4,0.744667
4,2,100,quotient_self_normalized,1024,True,0,0.771792
4,2,100,quotient_self_normalized,1024,True,1,0.708292
4,2,100,quotient_self_normalized,1024,True,2,0.736375
4,2,100,quotient_self_normalized,1024,True,3,0.766375
4,2,100,quotient_self_normalized,1024,True,4,0.745417
4,2,100,physical_rqmc,1024,True,0,0.679917
4,2,100,physical_rqmc,1024,True,1,0.71975
4,2,100,physical_rqmc,1024,True,2,0.74675
4,2,100,physical_rqmc,1024,True,3,0.749291
4,2,100,physical_rqmc,1024,True,4,0.752959
5,2,100,quotient_self_normalized,1024,True,0,0.806
5,2,100,quotient_self_normalized,1024,True,1,0.778583
5,2,100,quotient_self_normalized,1024,True,2,0.977542
5,2,100,quotient_self_normalized,1024,True,3,0.871708
5,2,100,quotient_self_normalized,1024,True,4,0.843458
5,2,100,physical_rqmc,1024,True,0,0.842792
5,2,100,physical_rqmc,1024,True,1,0.934916
5,2,100,physical_rqmc,1024,True,2,0.713167
5,2,100,physical_rqmc,1024,True,3,0.701875
5,2,100,physical_rqmc,1024,True,4,0.730292
6,2,100,physical_rqmc,1024,True,0,0.850125
6,2,100,physical_rqmc,1024,True,1,0.81075
6,2,100,physical_rqmc,1024,True,2,0.919084
6,2,100,physical_rqmc,1024,True,3,0.844333
6,2,100,physical_rqmc,1024,True,4,0.846875
6,2,100,quotient_self_normalized,1024,True,0,0.879834
6,2,100,quotient_self_normalized,1024,True,1,0.972542
6,2,100,quotient_self_normalized,1024,True,2,0.870583
6,2,100,quotient_self_normalized,1024,True,3,0.774042
6,2,100,quotient_self_normalized,1024,True,4,0.760959
7,2,100,quotient_self_normalized,1024,True,0,0.864583
7,2,100,quotient_self_normalized,1024,True,1,0.921334
7,2,100,quotient_self_normalized,1024,True,2,0.886958
7,2,100,quotient_self_normalized,1024,True,3,0.808083
7,2,100,quotient_self_normalized,1024,True,4,0.766958
7,2,100,physical_rqmc,1024,True,0,0.683417
7,2,100,physical_rqmc,1024,True,1,0.833625
7,2,100,physical_rqmc,1024,True,2,0.801292
7,2,100,physical_rqmc,1024,True,3,0.785375
7,2,100,physical_rqmc,1024,True,4,0.712667
8,2,100,quotient_self_normalized,1024,True,0,0.87475
8,2,100,quotient_self_normalized,1024,True,1,0.754208
8,2,100,quotient_self_normalized,1024,True,2,0.747417
8,2,100,quotient_self_normalized,1024,True,3,0.708083
8,2,100,quotient_self_normalized,1024,True,4,0.813958
8,2,100,physical_rqmc,1024,True,0,0.747833
8,2,100,physical_rqmc,1024,True,1,0.699916
8,2,100,physical_rqmc,1024,True,2,0.712
8,2,100,physical_rqmc,1024,True,3,0.994292
8,2,100,physical_rqmc,1024,True,4,0.921333
